# started on Sun Mar  5 14:58:56 2017

    64.571749210 0  L1-dcache-prefetch-misses
    64.571749210 151440  L1-icache-load-misses
    65.072093997 723703  L1-dcache-store-misses
    65.072093997 0  L1-dcache-prefetch-misses
    65.072093997 158283  L1-icache-load-misses
    65.572439326 778767  L1-dcache-store-misses
    65.572439326 0  L1-dcache-prefetch-misses
    65.572439326 163823  L1-icache-load-misses
    66.073004727 715534  L1-dcache-store-misses
    66.073004727 0  L1-dcache-prefetch-misses
    66.073004727 150797  L1-icache-load-misses
    66.573376136 724776  L1-dcache-store-misses
    66.573376136 0  L1-dcache-prefetch-misses
    66.573376136 145703  L1-icache-load-misses
    67.073826028 720954  L1-dcache-store-misses
    67.073826028 0  L1-dcache-prefetch-misses
    67.073826028 152330  L1-icache-load-misses
    67.574638382 733384  L1-dcache-store-misses
    67.574638382 0  L1-dcache-prefetch-misses
    67.574638382 151563  L1-icache-load-misses
    68.075208005 775623  L1-dcache-store-misses
    68.075208005 0  L1-dcache-prefetch-misses
    68.075208005 165590  L1-icache-load-misses
    68.575700715 777681  L1-dcache-store-misses
    68.575700715 0  L1-dcache-prefetch-misses
    68.575700715 155083  L1-icache-load-misses
    69.075984558 802160  L1-dcache-store-misses
    69.075984558 0  L1-dcache-prefetch-misses
    69.075984558 159673  L1-icache-load-misses
    69.576668918 785396  L1-dcache-store-misses
    69.576668918 0  L1-dcache-prefetch-misses
    69.576668918 170961  L1-icache-load-misses
    70.077383518 791937  L1-dcache-store-misses
    70.077383518 0  L1-dcache-prefetch-misses
    70.077383518 175793  L1-icache-load-misses
    70.578238333 804166  L1-dcache-store-misses
    70.578238333 0  L1-dcache-prefetch-misses
    70.578238333 162552  L1-icache-load-misses
    71.079100432 884991  L1-dcache-store-misses
    71.079100432 0  L1-dcache-prefetch-misses
    71.079100432 826765  L1-icache-load-misses
    71.579981496 726874  L1-dcache-store-misses
    71.579981496 0  L1-dcache-prefetch-misses
    71.579981496 154349  L1-icache-load-misses
    72.080229755 737914  L1-dcache-store-misses
    72.080229755 0  L1-dcache-prefetch-misses
    72.080229755 159737  L1-icache-load-misses
    72.580585424 751370  L1-dcache-store-misses
    72.580585424 0  L1-dcache-prefetch-misses
    72.580585424 161657  L1-icache-load-misses
    73.081586815 725793  L1-dcache-store-misses
    73.081586815 0  L1-dcache-prefetch-misses
    73.081586815 159826  L1-icache-load-misses
    73.582674481 794249  L1-dcache-store-misses
    73.582674481 0  L1-dcache-prefetch-misses
    73.582674481 159499  L1-icache-load-misses
    74.083325593 715765  L1-dcache-store-misses
    74.083325593 0  L1-dcache-prefetch-misses
    74.083325593 157191  L1-icache-load-misses
    74.584032152 738659  L1-dcache-store-misses
    74.584032152 0  L1-dcache-prefetch-misses
    74.584032152 159361  L1-icache-load-misses
