# started on Wed Mar  1 14:16:39 2017

    38.599492877 284935369  instructions
    38.599492877 25965098  branches
    38.599492877 0  faults
    38.599492877 0  migrations
    38.599492877 14  context-switches
    39.099912395 3747919  cache-references
    39.099912395 2827079  cache-misses
    39.099912395 1351995928  cycles
    39.099912395 288681309  instructions
    39.099912395 26329295  branches
    39.099912395 0  faults
    39.099912395 0  migrations
    39.099912395 6  context-switches
    39.600668743 3874125  cache-references
    39.600668743 2913237  cache-misses
    39.600668743 1373980129  cycles
    39.600668743 296362623  instructions
    39.600668743 26866315  branches
    39.600668743 0  faults
    39.600668743 0  migrations
    39.600668743 4  context-switches
    40.101288959 3757577  cache-references
    40.101288959 2812594  cache-misses
    40.101288959 1339071612  cycles
    40.101288959 285522478  instructions
    40.101288959 25996047  branches
    40.101288959 0  faults
    40.101288959 0  migrations
    40.101288959 5  context-switches
    40.601609026 3956153  cache-references
    40.601609026 2920801  cache-misses
    40.601609026 1384450504  cycles
    40.601609026 295833164  instructions
    40.601609026 27036357  branches
    40.601609026 0  faults
    40.601609026 0  migrations
    40.601609026 7  context-switches
    41.101961614 3983049  cache-references
    41.101961614 2935858  cache-misses
    41.101961614 1383546413  cycles
    41.101961614 294824692  instructions
    41.101961614 26908114  branches
    41.101961614 0  faults
    41.101961614 0  migrations
    41.101961614 3  context-switches
    41.602317660 3982040  cache-references
    41.602317660 2943085  cache-misses
    41.602317660 1361930154  cycles
    41.602317660 290711025  instructions
    41.602317660 26460482  branches
    41.602317660 0  faults
    41.602317660 0  migrations
    41.602317660 6  context-switches
    42.102694841 4012462  cache-references
    42.102694841 2954237  cache-misses
    42.102694841 1379049637  cycles
    42.102694841 294709841  instructions
    42.102694841 26897987  branches
    42.102694841 0  faults
    42.102694841 0  migrations
    42.102694841 1  context-switches
    42.603048408 3968567  cache-references
    42.603048408 2925375  cache-misses
    42.603048408 1375768476  cycles
    42.603048408 292896917  instructions
    42.603048408 26741932  branches
    42.603048408 0  faults
    42.603048408 0  migrations
    42.603048408 7  context-switches
    43.103553132 4080183  cache-references
    43.103553132 2860514  cache-misses
    43.103553132 1261560085  cycles
    43.103553132 351102833  instructions
    43.103553132 42785197  branches
    43.103553132 1856  faults
    43.103553132 0  migrations
    43.103553132 66  context-switches
    43.603833815 3714137  cache-references
    43.603833815 2761876  cache-misses
    43.603833815 1352681053  cycles
    43.603833815 289460431  instructions
    43.603833815 26451804  branches
    43.603833815 0  faults
    43.603833815 0  migrations
    43.603833815 8  context-switches
    44.106582216 3794991  cache-references
    44.106582216 2793667  cache-misses
    44.106582216 1318456614  cycles
    44.106582216 280143860  instructions
    44.106582216 25514670  branches
    44.106582216 0  faults
    44.106582216 0  migrations
    44.106582216 9  context-switches
    44.607213466 3831834  cache-references
    44.607213466 2800558  cache-misses
    44.607213466 1392441379  cycles
    44.607213466 297774495  instructions
    44.607213466 27148300  branches
    44.607213466 0  faults
    44.607213466 0  migrations
    44.607213466 5  context-switches
    45.109172292 3722659  cache-references
    45.109172292 2763638  cache-misses
    45.109172292 1342469278  cycles
